参数名,中文名,数值,下限,上限,单位,来源,用途,备注
pre_war_global_supply,战前全球原油总供给,10000,,,万桶/日,赛题2.1,供需基准,全球原油总供给约10000万桶/日
pre_war_global_demand,战前全球原油总需求,10000,,,万桶/日,赛题2.1,供需基准,全球原油总需求约10000万桶/日
hormuz_normal_transport,霍尔木兹海峡正常原油运输量,2000,,,万桶/日,赛题2.1,封锁冲击,约占全球20%
hormuz_traffic_drop_rate,船舶通行量下降幅度,95.3,,,%,赛题2.2,封锁冲击,联合国秘书长发言人通报
supply_interruption,实际供应中断量,,1400,1800,万桶/日,赛题2.2,封锁冲击,IEA及多家机构估算范围
brent_observed_peak_text,题面叙述布伦特峰值,126,,,美元/桶,赛题2.2,口径参考,与附件CSV收盘价口径不完全一致
brent_observed_range_low,题面叙述价格区间下沿,110,,,美元/桶,赛题2.2,口径参考,题面持续价格区间
brent_observed_range_high,题面叙述价格区间上沿,120,,,美元/桶,赛题2.2,口径参考,题面持续价格区间
strategic_petroleum_reserve,全球战略石油储备,300000,,,万桶,赛题2.2,库存缓冲,约30亿桶
commercial_inventory,战前海上及陆上商业库存,58000,,,万桶,赛题2.2,库存缓冲,约5.8亿桶
observed_demand_decline,实际需求下降幅度,430,,,万桶/日,赛题2.2,需求收缩,摩根大通估算
china_hormuz_import,中国通过海峡的进口量,600,,,万桶/日,赛题2.2,结构解释,战前约600万桶/日
reroute_capacity,绕道运输能力上限,300,,,万桶/日,赛题2.3,供给修复,沙特和阿联酋部分管道或其他港口
reroute_start_days,绕道运输启动时间,,7,30,天,赛题2.3,供给修复,需要7-30天逐步启动
spr_release_capacity,战略储备释放速度,,200,700,万桶/日,赛题2.3,政策缓冲,不同机构估算差异
panic_demand_multiplier,短期恐慌需求放大系数,,1.1,1.2,倍,赛题任务1,需求扰动,持续1-2周
panic_duration,恐慌需求持续时间,,7,14,天,赛题任务1,需求扰动,1-2周
short_term_price_elasticity,短期需求价格弹性,-0.05,,,无量纲,赛题任务1,价格弹性,短期弹性约-0.05
short_term_horizon,短期冲击模型时间范围,60,,,天,赛题任务1,模型任务,0-60天
medium_long_horizon_low,中长期模型起点,60,,,天,赛题任务2,模型任务,60-180天
medium_long_horizon_high,中长期模型终点,180,,,天,赛题任务2,模型任务,60-180天
