常数,当前值,作用,取值依据,审计状态
SPR_TAPER_START_DAY,75.0,SPR 由计划释放转向缺口驱动收缩的起点,60 天后进入长期外推，75 天表示政策释放开始从应急高强度转向库存保护；不是题面物理常数。,已纳入敏感性分析
SPR_TAPER_FLOOR,0.25,长期仍保留的最低政策释放比例,用于避免 SPR 在制度风险仍存在时立即归零，表示保守释放底座。,暂作为机制设定
SPR_FUTURE_BUDGET_DAYS,85.0,附件观测期之后可持续动用的等效 SPR 天数,将 SPR 从单日释放能力扩展为有限资源池，避免长期封锁下无限释放。,纳入长期资源约束
REGIME_CONFIDENCE_DECAY_FLOOR,0.4,市场信心恢复后仍保留的制度风险比例,表示封锁未彻底解除时，航运保险、安全和再升级风险仍有残余溢价。,已纳入敏感性分析
OVERSUPPLY_REVERSION_SCALE,1.35,供给过剩对目标价格的向下回归强度,刻画长期轻微过剩对价格的保守下拉，不作为供需弹性替代。,已纳入敏感性分析
FEAR_CHANGE_MOMENTUM,2.5,恐慌变化对日度价格的短期动量修正,作为事件冲击吸收速度项，只影响恐慌变化率；论文中应表述为辅助动量审计点。,保留但需审慎解释
BLOCKADE_RISK_DECAY,0.004,封锁风险溢价的日度衰减速度,刻画封锁风险从冲击确认到制度化吸收的衰减速度；不是题面物理常数。,已纳入敏感性分析
LONG_ELASTICITY_TRANSITION_DAYS,120.0,长期需求弹性由短期低弹性向长期情景弹性过渡的时间尺度,避免 60 天后弹性突然变成常数，体现高价需求调整需要逐步完成。,长期机制增强
ADAPTIVE_ANCHOR_ALPHA,0.035,长期价格锚随高油价环境缓慢更新的日度速度,避免 60-180 天仍永久使用战前价格作为需求和压力判断锚点。,长期机制增强
DEMAND_PRICE_RESPONSE,0.035,长期需求收缩对价格压力的附加响应强度,需求收缩不再只由日历时间决定，而是随价格高位持续程度内生变化。,长期机制增强
