name,中文名,含义,单位,来源类型,当前状态
P_t,第t天布伦特油价,模型中的日度原油价格,USD/barrel,官方CSV,待阶段1清洗
Q_d_t,第t天有效需求,考虑恐慌和价格弹性后的日度需求,万桶/日,模型假设,待建模
Q_s_t,第t天有效供应,考虑封锁损失和缓冲机制后的日度供应,万桶/日,模型假设,待建模
Blockade_t,第t天供应中断量,霍尔木兹封锁导致的供应减少,万桶/日,题面给定,待参数化
SPR_t,第t天战略储备释放量,战略储备对供应缺口的补充,万桶/日,题面范围+假设,待参数化
Route_t,第t天绕道运输能力,替代运输路径恢复的供应能力,万桶/日,题面给定,待参数化
Inventory_t,第t天商业库存,商业库存剩余量,万桶,题面给定,待参数化
Fear_t,第t天恐慌因子,冲突初期市场恐慌对需求或价格的放大,无量纲,模型假设,待参数化
epsilon,需求价格弹性,价格变化引起需求变化的弹性系数,无量纲,题面给定+假设,待参数化
alpha,供需缺口价格敏感度,供需缺口对价格变化的影响系数,模型系数,校准得到,待校准
beta,恐慌价格敏感度,恐慌因子对价格变化的影响系数,模型系数,校准得到,待校准
gamma,缓冲压制强度,库存和储备等缓冲因素对价格的压制系数,模型系数,校准得到,待校准
