指标,数值,解释
同期GPR与本月油价月收益相关系数,0.15569412317363496,描述性同步关系，不用于预测。
滞后1月GPR与本月油价月收益相关系数,0.030200942054306935,用于避免同月新闻-价格反馈循环的核心检验。
滞后2月GPR与本月油价月收益相关系数,-0.04477137406765579,滞后稳健性参考。
滞后1月GPR与本月实现波动率相关系数,0.10705187906993732,风险指数更可能解释波动和尾部风险。
滞后1月GPR收益回归beta,0.0036405154546593,"OLS: return_t = a + b GPR_z(t-1), n=103, R2=0.001。"
滞后1月GPR波动回归beta,0.006408247742317977,"OLS: vol_t = a + b GPR_z(t-1), n=103, R2=0.011。"
2026年3月GPR历史分位数,0.9898373983739838,冲突爆发月风险读数在1985-2025历史样本中的位置。
2026年4月GPR历史分位数,0.9776422764227642,冲突后续月风险读数在1985-2025历史样本中的位置。
2026年3月可用滞后GPR,120.74515533447266,3月预测只能使用2月GPR，不能使用3月同步新闻指数。
2026年4月可用滞后GPR,326.9891052246094,4月预测可使用3月已实现GPR，适合解释风险延续。
